,id,name,nationality,city,mobile_number,alternate_mobile_number,primary_email_id,alternate_email_id,birthday,tagline,hastags,about,gpa,company name,industry,locality,country,language,industry_knowledge,tools_and_technologies
0,0,Kiana Lor,China,Suzhou,8546270724,7215739303,3nke9hsuju@gmail.com,ljfps8h7xk@outlook.com,27-08-1991,WNBABheNTlvBhXyglwwDgbUtT,#lBlBkph,rWGKBbeJdYOWvFwxHPaTBqogbxwKpGsbvADqlkvGREiemHACbPVhkUtpHUMbNLBFdBmNtElwZdhJdxbzTuraBKsmdYwRFHFkivABGIkKLgzVPsGtrLRxLUudMfUmBfGvnINZPLzeZzAJcCfLQjscekMbaTPxnkNadbCKwRYsyCtyECciLKPToEiJFakqHJDfTAcbeWyVMnJjwGeXiimishoUqWkYrMfgxBxZYzgqbfPkiJTTNPpcsNnDIT,3.06,ibm,information technology and services,"new york, new york, united states",united states,Estonian,Adobe Systems Adobe Acrobat,Document management software
1,1,Joshua Lonaker,United States of America,Santa Clarita,7016698944,6954837023,f2tqn2oaql@gmail.com,ikibw7hlqe@outlook.com,27-07-2015,ryomBmnGWwfPijGxJTaMFUbjI,#oyweoro,wzKxmaXvuqJeKlSwKpLcFuSYfolrkJWqEhKrlmZiXftVSEYeloJchlWenGaLCbWIKBvYnbucRVKTFHEFshLuSdibMiyKujoVYfbespUfgERsiuxpGbwNWhDwCKuVeAKVYvbpCGLLBQXAdnVJDrMFviEBfxikshuZDxXvhpdQewIFUlLLINvXkklZrAzqnXZhlvgVMFAXghSPGYmLLauLsNVPolBSvrKttuBKvwwCvZniGeqKfLwaKZqmxu,4.15,tata consultancy services,information technology and services,"bombay, maharashtra, india",india,Swedish,AdSense Tracker,Data base user interface and query software
2,2,Dakota Blanco,United States of America,Oakland,7755159207,6740142840,4pjuosi5p8@gmail.com,w4igsqu1ez@outlook.com,15-11-1974,rNYdNMngLhPoLyllYDRaNwtLH,#QEGqJXW,qsIvMIwloxAYBfceNegdfiYhpCjPUGMzTbXJGPhzBmTcgZuuWwcyFmqDxuAdbPYrnTNmdjXvCDxNSJTCQqhTtcyZoiXjdSzhmYobWgpxQSpuEDpUVLDEclBOjjnssMfeLijhSiJzPfSGYEezGhHZjEBVgSDVsfHbxSaZcPIQbOrmIykIYZoeWIknmwCktbtlousjeKCjuRHXLYAyWoUKFPWLKWLEBJthATcxTBsZFWSjSVISIdHmKGtFeZ,3.41,accenture,information technology and services,"dublin, dublin, ireland",ireland,Thai,Atlassian JIRA,Content workflow software
3,3,Natasha Yarusso,United States of America,Castro Valley,6927743855,9506605827,q340trs1sl@gmail.com,nx1hzxoa3u@outlook.com,24-04-2011,zSzWlhbYkkIbXywSHnUiueagM,#hIAlWmk,TSMQDXDPLJhFHllNUTYEAxCIwnHoRAetmVxjBkYZsXpJoKmYAGzMfJRoZlWeaSHsZspLfdNAiCwnJZrrUxWdVnhYjztwpPDoxqdAtdxySYgTRjYkhLbnPXdOjCBOFtgfdmVIHowjSmgHYzajPQRnrVOSlaEPJhAYptlvhvAUxEChLTfUphZrZWqMmDFydGKFxZEZqrMbzrIyxvnMIKKFzGopudPocURSZQEpkUZUwURqBgfvDFxqHpmtOG,3.21,us army,military,"alexandria, virginia, united states",united states,Tamil,Blackbaud The Raiser's Edge,Customer relationship management CRM software
4,4,Brooke Cazares,Brazil,São José dos Campos,6879481795,9807916293,1xooojrauf@gmail.com,ksi0b8lido@outlook.com,03-07-1996,jdlSlJWGnfIBtkBWDcYMZjxFB,#DqPDmRk,WLOFDPvjmvlFWzOMNaNWDTTbTaufIbfGzgYDyeGRhDVTsdeanaiPRNikhHtCdJFqJerTZGpIeQGgYXXaDAlyJOfuHGFizpCFdLooDgbgtHUbFiMlkcRpmXsePSkZOftztTIhDGBkkCjAaAvHQIdzQGDyOOLqcRQunAVeaUdpmYGYLEIXsFBxafanmwjmDNrLAKPCvjflyfcCwbiJDWZYKpvnCswFAKdilcGYyznmGKPTZXrIYixyIACLZk,3.48,ey,accounting,"london, greater london, united kingdom",united kingdom,Dutch,ComputerEase Construction Accounting,Accounting software
5,5,Rochelle Johnson,United States of America,Indianapolis,9926282488,9077136765,i761uvnt5u@gmail.com,bf81qnknxi@outlook.com,21-12-2021,pnjOlvElhACjFgdzDBzCkqZFs,#xivkbtC,ZLwjJkUWzCgKoAgVynXPPJvIuRwQQBHEbOphYRwxsqLsztNvfWlxrODfPNayrDEkJaEEdaifIzrCmybuwlLvOACCoRsgTiIBOxopoDYGgCURJHuBlcfPRrmVafXruUMPYxrCSCrTKFiYgfteHlJOuOJAcQEssZbVFtUpEowMFRIvxSKOUOsubQxXkZqvAgypAVmHMtbDopyDIurPkCviLjpyHSsLgDobExAYayFqgUvwMtBdqsoPlHARqQ,2.95,hewlett-packard,information technology and services,"palo alto, california, united states",united states,Japanese,Database reporting software,Data base reporting software
6,6,Joey Abreu,China,Shenyang,9809548502,7922204237,vlnir77c42@gmail.com,d0k7f4z3g1@outlook.com,02-07-1999,hOxxkqbyyvqRHnMOWPTQSnHwD,#NzEPpIn,qKzvHjrzfVzZNrEtqOwgkiOWAkQYHVuBweLpZiQWopBVPkapFatEbtFzqjGYrGEghHwDaiitQmRvBsVnaJxhaptmEZRJEivKHtPAZsIpLBISImMOCBVYBTAstdgPDkhyKhDCAtTGGdJajcbwUTabwnvvpbOGSYsVCfEpscqHYAFGGaufLjpsVJZDHUvYFYfkQLKCFOWfcrDwrHdbKtGHbEcjvWWXHMENKghqYsLOxVhAekwhjHuQtqNpuB,3.6,cognizant technology solutions,information technology and services,"teaneck, new jersey, united states",united states,Turkish,Databox,Data base user interface and query software
7,7,Preston Suarez,Brazil,São Paulo,7749493492,9347531343,jxe5qctt48@gmail.com,d99ywpvm4m@outlook.com,26-09-1994,wDhmntZMVvfNbjElGplnZqEGA,#SDqWXRq,GSVNquBraxSrDPZiqHUqFkbmIwsSBqNywcvqyCUJiOuLuZlmZuWdvFYpDuXmfDoEoMVwaCgrkAWpILysdmbkUdqtNoNgRlcEicHggfMtJzpHPqzdNXwhxKIykdhKrjPchjSiYikaTYwntRtKxdFiomaGMSafCukTRnDEMwxnjbQSnwYKAwZqTveeaMPTFuFpAHfwSTEkCRDeAmXYICWKBSUzpncHESeDbaZsTbIJQsRbiSwkhtZoktzvCD,2.87,walmart,retail,"withee, wisconsin, united states",united states,Latin,Email software,Electronic mail software
8,8,Lee Dong,Philippines,Manila,8070519875,9918431066,iawdpb65in@gmail.com,fj01fjjpuq@outlook.com,05-01-1989,eNrnduqDDiQPxrDQRsZHVLJhR,#FDYduuf,caiAlAAuqPhFSGJxWwnkSWWwzZUuJxQyWafmHSQGpaNhOeIhVibWukZcNEpESpDvXPIRRTZVSJYInatbFAZWCjMHFeoPAkAJTSNJvFYYyeXIjtePXnELkEMCESaHmgdjgVfWaxzelqqPphxnkOsFIkeTGiGoTVCFrzghcLUyTsGoCSBGErcXynXPRJyeKZjCkpjXDwlCtiAFbaLKjKeTMIFvgEGocVpuhxwCCbtvTslGHFBVPZMGjDzbBK,3.67,microsoft,computer software,"redmond, washington, united states",united states,Urdu,Enterprise resource planning ERP software,Enterprise resource planning ERP software
9,9,Maa'iz al-Dia,Turkey,Istanbul,7518436518,9778545472,b4la1cx350@gmail.com,m0yhcx0x85@outlook.com,20-03-2003,LPwIHgMGlxaOgRllgnZSHRBCp,#JfrPgQT,AUkGEEMPDhBDdExDpXQlxwsHNDHCZSAQITanjIgJesrjZwSbqnoGIfxQThtYFTJMsFqSGMwwfQtjMXWPjjwyuZbuXXbrbyJqoSXnfWewSKyRCbshnfMTWrSbAseNbtWSTPozhkyNkOQpxrjohVDBNYyZBoyjMemfTOPZXBaVBKSlYjeNwRGYhSMeEWoGAnaIEwLdbpNxuIuEkJSeTfBKtiKGpTbfUWzDKBMEvCSMdJUpghogUHKqaGAsUK,3.49,at&t,telecommunications,"dallas, texas, united states",united states,Japanese,Exact Software Macola ES Labor Performance,Time accounting software
